Target,Area,Number of cars involved,Day,Time of Day,Area Speed,Vertical Align,Road Surface,Moisture Cond,DayNight,CrashType,Crash involvement,Traffic control,Drug_and_Alcohol Involved
Minor,Metropolitan,2,Monday,Day,70km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Monday,Afternoon,60km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Severe,Metropolitan,2,Monday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Driver Rider,No Traffic Control,No
Minor,City,4,Monday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Country,2,Tuesday,Night,90km/h or above,Slope,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Metropolitan,2,Monday,Evening,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Fatality,Metropolitan,2,Tuesday,Day,60km/h,Slope,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Severe,Country,1,Tuesday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Country,1,Wednesday,Morning,50km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Other,Give Way Sign,No
Minor,Metropolitan,2,Tuesday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Pedestrian,No Traffic Control,No
Minor,Metropolitan,3,Wednesday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,2,Wednesday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,2,Wednesday,Morning,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Give Way Sign,No
Minor,Metropolitan,2,Wednesday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Metropolitan,2,Wednesday,Morning,50km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Metropolitan,2,Wednesday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,1,Wednesday,Afternoon,50km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Roundabout,No
Minor,Metropolitan,2,Wednesday,Afternoon,40km/h or under,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Metropolitan,2,Wednesday,Evening,60km/h,Slope,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Severe,Metropolitan,1,Wednesday,Evening,50km/h,Bottom of Hill,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Country,3,Wednesday,Evening,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,City,2,Wednesday,Afternoon,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Thursday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Evening,50km/h,Level,Sealed,Dry,Night,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,5,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Severe,Metropolitan,1,Wednesday,Day,80km/h,Slope,Unsealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,1,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Give Way Sign,No
Minor,Metropolitan,2,Thursday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Day,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Wednesday,Day,80km/h,Crest of Hill,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,3,Thursday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Thursday,Evening,60km/h,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Driver Rider,Stop Sign,No
Minor,Metropolitan,2,Thursday,Afternoon,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Stop Sign,No
Minor,Country,2,Thursday,Evening,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Severe,Metropolitan,3,Thursday,Night,50km/h,Level,Sealed,Dry,Night,Collision with Person/Animal,Pedestrian,No Traffic Control,Yes
Minor,Metropolitan,2,Thursday,Night,50km/h,Slope,Sealed,Dry,Night,Collision with Vehicle,Driver Rider,No Traffic Control,Yes
Minor,Metropolitan,3,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,6,Friday,Day,80km/h,Crest of Hill,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Country,2,Thursday,Night,60km/h,Level,Unsealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Day,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Afternoon,70km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Give Way Sign,No
Minor,Metropolitan,3,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Friday,Evening,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Severe,Country,1,Thursday,Afternoon,80km/h,Level,Unsealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,City,2,Friday,Evening,50km/h,Level,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Saturday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,1,Saturday,Day,50km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Other,No Traffic Control,No
Minor,Metropolitan,2,Saturday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Saturday,Night,80km/h,Slope,Sealed,Dry,Night,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Saturday,Evening,80km/h,Slope,Sealed,Dry,Night,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Saturday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Sunday,Morning,60km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Severe,Metropolitan,2,Saturday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,1,Saturday,Day,60km/h,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Severe,Country,2,Saturday,Night,90km/h or above,Level,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,Yes
Minor,Metropolitan,3,Sunday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Severe,Metropolitan,2,Sunday,Afternoon,60km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Sunday,Night,70km/h,Level,Sealed,Dry,Night,Collision with Vehicle,Driver Rider,Traffic Signals,No
Fatality,Metropolitan,4,Sunday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Monday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Give Way Sign,No
Minor,Metropolitan,2,Monday,Morning,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,3,Monday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,City,2,Friday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Driver Rider,No Traffic Control,No
Minor,Metropolitan,4,Monday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Monday,Afternoon,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Country,1,Monday,Afternoon,50km/h,Other,Unsealed,Dry,Daylight,Other/Unknown,Driver Rider,No Traffic Control,No
Minor,Country,1,Tuesday,Day,80km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Monday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Monday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Tuesday,Afternoon,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,1,Tuesday,Afternoon,90km/h or above,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Country,2,Tuesday,Afternoon,50km/h,Crest of Hill,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Give Way Sign,No
Minor,Country,2,Tuesday,Evening,90km/h or above,Level,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Tuesday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Morning,70km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Traffic Signals,No
Severe,Metropolitan,3,Wednesday,Morning,90km/h or above,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Other,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Morning,60km/h,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Severe,Metropolitan,5,Wednesday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Day,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Stop Sign,Yes
Minor,City,2,Wednesday,Morning,50km/h,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Driver Rider,No Traffic Control,No
Fatality,Metropolitan,2,Wednesday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Wednesday,Day,60km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Traffic Signals,No
Minor,Metropolitan,3,Wednesday,Day,70km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,Yes
Minor,Country,2,Wednesday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Wednesday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,Yes
Minor,City,2,Sunday,Night,50km/h,Level,Sealed,Dry,Night,Collision with Person/Animal,Pedestrian,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Evening,50km/h,Slope,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Night,50km/h,Level,Sealed,Dry,Night,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Country,1,Monday,Evening,90km/h or above,Slope,Unsealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,2,Thursday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Fatality,Country,2,Thursday,Morning,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,Yes
Minor,Metropolitan,2,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Thursday,Day,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Thursday,Day,60km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Country,1,Thursday,Morning,90km/h or above,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,City,2,Thursday,Day,50km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Thursday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Afternoon,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Evening,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,2,Thursday,Evening,90km/h or above,Level,Unsealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Thursday,Afternoon,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,2,Thursday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,Yes
Severe,Country,2,Friday,Morning,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Animal,No Traffic Control,No
Minor,Metropolitan,2,Friday,Morning,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Severe,Country,2,Thursday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,1,Friday,Day,60km/h,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Severe,Country,2,Friday,Morning,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,2,Friday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Afternoon,50km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Friday,Afternoon,40km/h or under,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Severe,Metropolitan,2,Friday,Afternoon,60km/h,Bottom of Hill,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Stop Sign,Yes
Severe,Metropolitan,1,Friday,Afternoon,60km/h,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Night,60km/h,Level,Sealed,Dry,Night,Collision with Vehicle,Driver Rider,Roundabout,No
Minor,Country,2,Saturday,Night,50km/h,Level,Sealed,Dry,Night,Collision with Person/Animal,Pedestrian,No Traffic Control,No
Minor,Metropolitan,3,Saturday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Country,2,Saturday,Day,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,4,Saturday,Day,90km/h or above,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Friday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
